Index,Manufacturer,Name,Edge Type,Thickness (mm),Width (mm),Length (mm),Weight (kg/sqm),NRC,alpha w,Fire Rating,STC,Rw,IIC
136,Elephent ,Firesmart (Standard-Plus),TE/TE,10,1200,4800,7.4,,,,,,
137,Elephent ,Firesmart (Standard-Plus),TE/TE,10,1200,6000,7.4,,,,,,
138,Elephent ,Firesmart (Multismart),TE/TE,13,1200,2400,11.8,,,,,,
139,Elephent ,Firesmart (Multismart),TE/TE,13,1200,2700,11.8,,,,,,
140,Elephent ,Firesmart (Multismart),TE/TE,13,1200,3000,11.8,,,,,,
141,Elephent ,Firesmart (Multismart),TE/TE,13,1200,3300,11.8,,,,,,
142,Elephent ,Firesmart (Multismart),TE/TE,13,1200,3600,11.8,,,,,,
143,Elephent ,Firesmart,TE/TE,16,1200,3000,14.2,,,,,,
144,Elephent ,Firesmart,TE/TE,16,1200,3300,14.2,,,,,,
145,Elephent ,Firesmart,TE/TE,16,1200,3600,14.2,,,,,,
146,Elephent ,Aquasmart,TE/TE,10,1200,2400,8.4,,,,,,
147,Elephent ,Aquasmart,TE/TE,10,1200,2700,8.4,,,,,,
148,Elephent ,Aquasmart,TE/TE,10,1200,3000,8.4,,,,,,
149,Elephent ,Aquasmart,TE/TE,10,1200,3600,8.4,,,,,,
150,Elephent ,Horizontal Aquasmart,TE/SE,10,1200,2400,8.4,,,,,,
151,Elephent ,Horizontal Aquasmart,TE/SE,10,1200,4800,8.4,,,,,,
152,Elephent ,Aquasmart,TE/TE,13,1200,2400,11.5,,,,,,
153,Elephent ,Aquasmart,TE/TE,13,1200,2700,11.5,,,,,,
154,Elephent ,Aquasmart,TE/TE,13,1200,3000,11.5,,,,,,
155,Elephent ,Aquasmart,TE/TE,13,1200,3600,11.5,,,,,,
156,Elephant,Standard E2SC30-S26,TE/TE,13/13,1200,2400,17.8,,,,,,
157,Elephant,Standard E2SC30-S26,TE/TE,13/13,1200,2700,17.8,,,,,,
158,Elephant,Standard E2SC30-S26,TE/TE,13/13,1200,3000,17.8,,,,,,
159,Elephant,Standard E2SC30-S26,TE/TE,13/13,1200,3300,17.8,,,,,,
160,Elephant,Standard E2SC30-S26,TE/TE,13/13,1200,3600,17.8,,,,,,
161,Elephant,Standard E2SC30-S26,TE/TE,13/13,1200,4200,17.8,,,,,,
162,Elephant,Standard E2SC30-S26,TE/TE,13/13,1200,4800,17.8,,,,,,
163,Elephant,Standard E2SC30-S26,TE/TE,13/13,1200,6000,17.8,,,,,,
164,Elephant,MultiSmart E2SC30-M20,TE/TE,10/10,1200,2400,18,,,,,,
165,Elephant,MultiSmart E2SC30-M20,TE/TE,10/10,1200,2700,18,,,,,,
166,Elephant,MultiSmart E2SC30-M20,TE/TE,10/10,1200,3000,18,,,,,,
167,Elephant,MultiSmart E2SC30-M20,TE/TE,10/10,1200,3600,18,,,,,,
168,Elephant,MultiSmart E2SC30-M20,TE/TE,10/10,1200,4800,18,,,,,,
169,Elephant,MultiSmart E1SC45-M13,TE/TE,13,1200,2400,11.8,,,,,,
170,Elephant,MultiSmart E1SC45-M13,TE/TE,13,1200,2700,11.8,,,,,,
171,Elephant,MultiSmart E1SC45-M13,TE/TE,13,1200,3000,11.8,,,,,,
172,Elephant,MultiSmart E1SC45-M13,TE/TE,13,1200,3300,11.8,,,,,,
173,Elephant,MultiSmart E1SC45-M13,TE/TE,13,1200,3600,11.8,,,,,,
174,Elephant,FireSmart E1SC60-F16,TE/TE,16,1200,2400,14.2,,,,,,
175,Elephant,FireSmart E1SC60-F16,TE/TE,16,1200,2700,14.2,,,,,,
176,Elephant,FireSmart E1SC60-F16,TE/TE,16,1200,3000,14.2,,,,,,
177,Elephant,FireSmart E1XC60-F16,TE/TE,16,1200,2400,14.2,,,,,,
178,Elephant,FireSmart E1XC60-F16,TE/TE,16,1200,2700,14.2,,,,,,
179,Elephant,FireSmart E1XC60-F16,TE/TE,16,1200,3000,14.2,,,,,,
180,Elephant,MultiSmart-Standard E2SC60-MS26,TE/TE,13/13,1200,2400,17.9,,,,,,
181,Elephant,MultiSmart-Standard E2SC60-MS26,TE/TE,13/13,1200,2700,17.9,,,,,,
182,Elephant,MultiSmart-Standard E2SC60-MS26,TE/TE,13/13,1200,3000,17.9,,,,,,
183,Elephant,MultiSmart-Standard E2SC60-MS26,TE/TE,13/13,1200,3600,17.9,,,,,,
184,Elephant,MultiSmart-Standard E2SC60-MS26,TE/TE,13/13,1200,4800,17.9,,,,,,
185,Elephant,MultiSmart E2SC75-M26,TE/TE,13/13,1200,2400,23.6,,,,,,
186,Elephant,MultiSmart E2SC75-M26,TE/TE,13/13,1200,2700,23.6,,,,,,
187,Elephant,MultiSmart E2SC75-M26,TE/TE,13/13,1200,3000,23.6,,,,,,
188,Elephant,MultiSmart E2SC75-M26,TE/TE,13/13,1200,3300,23.6,,,,,,
189,Elephant,MultiSmart E2SC75-M26,TE/TE,13/13,1200,3600,23.6,,,,,,
190,Elephant,FireSmart E2SC90-F32,TE/TE,16/16,1200,2400,28.4,,,,,,
191,Elephant,FireSmart E2SC90-F32,TE/TE,16/16,1200,2700,28.4,,,,,,
192,Elephant,FireSmart E2SC90-F32,TE/TE,16/16,1200,3000,28.4,,,,,,
193,Elephant,FireSmart-MultiSmart E2XC90-FM29,TE/TE,13/16,1200,2400,26,,,,,,
194,Elephant,FireSmart-MultiSmart E2XC90-FM29,TE/TE,13/16,1200,2700,26,,,,,,
195,Elephant,FireSmart-MultiSmart E2XC90-FM29,TE/TE,13/16,1200,3000,26,,,,,,
196,Elephant,Standard E1SCa15-S13,TE/TE,13,1200,2400,8.9,,,,,,
197,Elephant,Standard E1SCa15-S13,TE/TE,13,1200,2700,8.9,,,,,,
198,Elephant,Standard E1SCa15-S13,TE/TE,13,1200,3000,8.9,,,,,,
199,Elephant,Standard E1SCa15-S13,TE/TE,13,1200,3300,8.9,,,,,,
200,Elephant,Standard E1SCa15-S13,TE/TE,13,1200,3600,8.9,,,,,,
201,Elephant,Standard E1SCa15-S13,TE/TE,13,1200,4200,8.9,,,,,,
202,Elephant,Standard E1SCa15-S13,TE/TE,13,1200,4800,8.9,,,,,,
203,Elephant,Standard E1SCa15-S13,TE/TE,13,1200,6000,8.9,,,,,,
204,Elephant,Standard E2SCa30-S26,TE/TE,13/13,1200,2400,17.8,,,,,,
205,Elephant,Standard E2SCa30-S26,TE/TE,13/13,1200,2700,17.8,,,,,,
206,Elephant,Standard E2SCa30-S26,TE/TE,13/13,1200,3000,17.8,,,,,,
207,Elephant,Standard E2SCa30-S26,TE/TE,13/13,1200,3300,17.8,,,,,,
208,Elephant,Standard E2SCa30-S26,TE/TE,13/13,1200,3600,17.8,,,,,,
209,Elephant,Standard E2SCa30-S26,TE/TE,13/13,1200,4200,17.8,,,,,,
210,Elephant,Standard E2SCa30-S26,TE/TE,13/13,1200,4800,17.8,,,,,,
211,Elephant,Standard E2SCa30-S26,TE/TE,13/13,1200,6000,17.8,,,,,,
212,Elephant,MultiSmart E1SCa45-M13,TE/TE,13,1200,2400,11.8,,,,,,
213,Elephant,MultiSmart E1SCa45-M13,TE/TE,13,1200,2700,11.8,,,,,,
214,Elephant,MultiSmart E1SCa45-M13,TE/TE,13,1200,3000,11.8,,,,,,
215,Elephant,MultiSmart E1SCa45-M13,TE/TE,13,1200,3300,11.8,,,,,,
216,Elephant,MultiSmart E1SCa45-M13,TE/TE,13,1200,3600,11.8,,,,,,
217,Elephant,FireSmart E1SCa60-F16,TE/TE,16,1200,2400,14.2,,,,,,
218,Elephant,FireSmart E1SCa60-F16,TE/TE,16,1200,2700,14.2,,,,,,
219,Elephant,FireSmart E1SCa60-F16,TE/TE,16,1200,3000,14.2,,,,,,
220,Boral,Echostop - 3mm Square Hole Perforated,,12.5,1200,2400,9.7,0.65,0.4,,,,
221,Boral,Echostop - 6mm Square Hole Perforated,,12.5,1200,2400,9.7,0.65,0.4,,,,
222,Boral,Echostop - 12mm Square Hole Perforated,,12.5,1200,2400,9,0.75,0.55,,,,
223,Boral,Sheetrock standard,RE,13,1200,2700,7.2,,,,,,
224,Boral,Sheetrock standard,RE,13,1200,3000,7.2,,,,,,
225,Boral,Sheetrock standard,RE,13,1200,3600,7.2,,,,,,
226,Boral,Sheetrock standard,RE,13,1200,4800,7.2,,,,,,
227,Boral,Sheetrock standard,RE,13,1350,3600,7.2,,,,,,
228,Boral,Sheetrock standard,RE,13,1350,4800,7.2,,,,,,
229,Boral,Sheetrock standard,RE/SE,13,1350,4800,7.2,,,,,,
230,Boral,Sheetrock Ceiling Board,RE,10,1200,2400,5.9,,,,,,
231,Boral,Sheetrock Ceiling Board,RE,10,1200,2700,5.9,,,,,,
232,Boral,Sheetrock Ceiling Board,RE,10,1200,3000,5.9,,,,,,
233,Boral,Sheetrock Ceiling Board,RE,10,1200,3600,5.9,,,,,,
234,Boral,Sheetrock Ceiling Board,RE,10,1200,4200,5.9,,,,,,
235,Boral,Sheetrock Ceiling Board,RE,10,1200,4800,5.9,,,,,,
236,Boral,Sheetrock Ceiling Board,RE,10,1200,6000,5.9,,,,,,
237,Boral,Sheetrock Ceiling Board,RE,10,1350,3000,5.9,,,,,,
238,Boral,Sheetrock Ceiling Board,RE,10,1350,3600,5.9,,,,,,
239,Boral,Sheetrock Ceiling Board,RE,10,1350,4200,5.9,,,,,,
240,Boral,Sheetrock Ceiling Board,RE,10,1350,4800,5.9,,,,,,
241,Boral,Sheetrock Ceiling Board,RE,10,1350,6000,5.9,,,,,,
242,Boral,Sheetrock Ceiling Board,RE/SE,10,1200,6000,5.9,,,,,,
243,Boral,Sheetrock Ceiling Board,RE/SE,10,1350,6000,5.9,,,,,,
244,Boral,Unispan,RE,10,1200,2400,7.2,,,,,,
245,Boral,Unispan,RE,10,1200,2700,7.2,,,,,,
246,Boral,Unispan,RE,10,1200,3000,7.2,,,,,,
247,Boral,Unispan,RE,10,1200,3600,7.2,,,,,,
248,Boral,Unispan,RE,10,1200,4200,7.2,,,,,,
249,Boral,Unispan,RE,10,1200,4800,7.2,,,,,,
250,Boral,Unispan,RE,10,1200,6000,7.2,,,,,,
251,Boral,Unispan,RE,10,1350,3000,7.2,,,,,,
252,Boral,Unispan,RE,10,1350,3600,7.2,,,,,,
253,Boral,Unispan,RE,10,1350,4200,7.2,,,,,,
254,Boral,Unispan,RE,10,1350,4800,7.2,,,,,,
255,Boral,Unispan,RE,10,1350,6000,7.2,,,,,,
256,Boral,Unispan,RE/SE,10,1200,6000,7.2,,,,,,
257,Boral,Unispan,RE/SE,10,1350,6000,7.2,,,,,,
258,Boral,Flexiboard,RE,6.5,1200,3600,4.1,,,,,,
259,Boral,Soundstop,RE,10,1200,3600,9,,,,,,
260,Boral,Soundstop,RE,10,1200,4800,9,,,,,,
261,Boral,Soundstop,RE,10,1350,4800,9,,,,,,
262,Boral,Soundstop,RE,13,1200,3000,11.8,,,,,,
263,Boral,Soundstop,RE,13,1200,3600,11.8,,,,,,
264,Boral,Soundstop,RE,13,1350,3600,11.8,,,,,,
265,Boral,Standard,RE,10,1200,2400,6.8,,,,,,
266,Boral,Standard,RE,10,1200,2700,6.8,,,,,,
267,Boral,Standard,RE,10,1200,3000,6.8,,,,,,
268,Boral,Standard,RE,10,1200,3600,6.8,,,,,,
269,Boral,Standard,RE,10,1200,4200,6.8,,,,,,
270,Boral,Standard,RE,10,1200,4800,6.8,,,,,,
271,Boral,Standard,RE,10,1200,6000,6.8,,,,,,
272,Boral,Standard,RE,10,1350,3000,6.8,,,,,,
273,Boral,Standard,RE,10,1350,3600,6.8,,,,,,
274,Boral,Standard,RE,10,1350,4200,6.8,,,,,,
275,Boral,Standard,RE,10,1350,4800,6.8,,,,,,
276,Boral,Standard,RE,10,1350,6000,6.8,,,,,,
277,Boral,Standard,RE,13,900,2700,8.6,,,,,,
278,Boral,Standard,RE,13,1200,3000,8.6,,,,,,
279,Boral,Standard,RE,13,1200,3600,8.6,,,,,,
280,Boral,Standard,RE,13,1200,4200,8.6,,,,,,
281,Boral,Standard,RE,13,1200,4800,8.6,,,,,,
282,Boral,Standard,RE,13,1200,6000,8.6,,,,,,
283,Boral,Standard,RE,13,1350,3000,8.6,,,,,,
284,Boral,Standard,RE,13,1350,3600,8.6,,,,,,
285,Boral,Standard,RE,13,1350,4200,8.6,,,,,,
286,Boral,Standard,RE,13,1350,4800,8.6,,,,,,
287,Boral,Standard,SE,10,900,2100,6.8,,,,,,
288,Boral,Standard,SE,10,900,2400,6.8,,,,,,
289,Boral,Standard,SE,10,900,2700,6.8,,,,,,
290,Boral,Standard,SE,10,1200,2100,6.8,,,,,,
291,Boral,Standard,SE,10,1200,2400,6.8,,,,,,
292,Boral,Standard,SE,10,1200,2700,6.8,,,,,,
293,Boral,Standard,RE/SE,13,1375,3600,8.6,,,,,,
294,Boral,Wetstop,RE,10,1200,2400,7.4,,,,,,
295,Boral,Wetstop,RE,10,1200,2700,7.4,,,,,,
296,Boral,Wetstop,RE,10,1200,3000,7.4,,,,,,
297,Boral,Wetstop,RE,10,1200,3600,7.4,,,,,,
298,Boral,Wetstop,RE,10,1200,4200,7.4,,,,,,
299,Boral,Wetstop,RE,10,1200,6000,7.4,,,,,,
300,Boral,Wetstop,RE,10,1350,3600,7.4,,,,,,
301,Boral,Wetstop,RE,10,1350,5400,7.4,,,,,,
302,Boral,Wetstop,RE,13,1200,2700,9.4,,,,,,
303,Boral,Wetstop,RE,13,1200,3000,9.4,,,,,,
304,Boral,Wetstop,RE,13,1200,3600,9.4,,,,,,
305,Boral,Firerock,SE,10,1200,2700,9.5,,,,,,
306,Boral,Firerock,SE,10,1200,3000,9.5,,,,,,
307,Boral,Firerock,RE,13,1200,3000,12,,,,,,
308,Boral,Firerock,RE,16,1200,3000,15,,,,,,
309,Siniat,Mastashield,,10,1200,2400,6.3,,,,,,
310,Siniat,Mastashield,,10,1200,2700,6.3,,,,,,
311,Siniat,Mastashield,,10,1200,3000,6.3,,,,,,
312,Siniat,Mastashield,,10,1200,3600,6.3,,,,,,
313,Siniat,Mastashield,,10,1200,4200,6.3,,,,,,
314,Siniat,Mastashield,,10,1200,4800,6.3,,,,,,
315,Siniat,Mastashield,,10,1200,6000,6.3,,,,,,
316,Siniat,Mastashield,,10,1275,6000,6.3,,,,,,
